| Rank |                                                                                        Drug Name                                                                                        | Target Name | Binding Score |
|  59  |                                      3-{[(2,2-dioxido-1,3-dihydro-2-benzothien-5-yl)amino]methylene}-5-(1,3-oxazol-5-yl)-1,3-dihydro-2H-indol-2-one                                     |     ZBP1    |      6.22     |
|  60  |                                                                                        Sumanirole                                                                                       |     ZBP1    |      6.22     |
|  61  |                                                                                          SU9516                                                                                         |     ZBP1    |      6.22     |
|  62  |                                                                                        ORG-34517                                                                                        |     ZBP1    |      6.22     |
|  63  |                                                                                       Halcinonide                                                                                       |     ZBP1    |      6.22     |
|  64  |                                                                                     Fluoxymesterone                                                                                     |     ZBP1    |      6.22     |
|  65  |                                                                                     Fludrocortisone                                                                                     |     ZBP1    |      6.22     |
|  66  |                                                                                      Ergocalciferol                                                                                     |     ZBP1    |      6.22     |
|  67  |                                                                                 Hydrocortisone probutate                                                                                |     ZBP1    |      6.21     |
|  68  |                                                                                       Demegestone                                                                                       |     ZBP1    |      6.21     |
|  69  |                                                                                           Fica                                                                                          |     ZBP1    |      6.21     |
|  70  |                                                                                       Etonogestrel                                                                                      |     ZBP1    |      6.21     |
|  71  |                                                                                          NGX267                                                                                         |     ZBP1    |      6.21     |
|  72  |                                                                                     Ginsenoside Rg1                                                                                     |     ZBP1    |      6.21     |
|  73  |                                                                                       Declopramide                                                                                      |     ZBP1    |      6.20     |
|  74  |                                                                                       Becatecarin                                                                                       |    NLRP3    |      6.20     |
|  75  |                                                                                        Tixocortol                                                                                       |     ZBP1    |      6.20     |
|  76  |                                                                                       Alfacalcidol                                                                                      |     ZBP1    |      6.20     |
|  77  |                                                                                       Vinorelbine                                                                                       |     ZBP1    |      6.20     |
|  78  |                                                                                        Artenimol                                                                                        |     ZBP1    |      6.20     |
|  79  |                                                                                       Flunisolide                                                                                       |    NLRP3    |      6.19     |
|  80  |                                                                                       Barnidipine                                                                                       |     ZBP1    |      6.19     |
|  81  |                                                                                      Latrunculin A                                                                                      |     ZBP1    |      6.19     |
|  82  |                                                                                      Norethynodrel                                                                                      |     ZBP1    |      6.19     |
|  83  |                                                                                      Alsterpaullone                                                                                     |     ZBP1    |      6.19     |
|  84  |                                            4-({4-[(4-AMINOBUT-2-YNYL)OXY]PHENYL}SULFONYL)-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE                                            |     ZBP1    |      6.19     |
|  85  |                                           (3R)-3-[(1,2,3,4-tetrahydroisoquinolin-7-yloxy)methyl]-2,3-dihydrothieno[2,3-f][1,4]oxazepin-5-amine                                          |     ZBP1    |      6.19     |
|  86  |                                                                                  Fluocinolone acetonide                                                                                 |     ZBP1    |      6.19     |
|  87  |                                                                                       Cyclacillin                                                                                       |     ZBP1    |      6.19     |
|  88  |                                                                                       Benzthiazide                                                                                      |     ZBP1    |      6.19     |
|  89  |                                                                                 Hydrocortisone phosphate                                                                                |     ZBP1    |      6.19     |
|  90  |                                                                                        Asoprisnil                                                                                       |     ZBP1    |      6.18     |
|  91  |                                                                                         Ovalicin                                                                                        |    NLRP3    |      6.18     |
|  92  |                                                 N-[4-(2-CHLOROPHENYL)-1,3-DIOXO-1,2,3,6-TETRAHYDROPYRROLO[3,4-C]CARBAZOL-9-YL]FORMAMIDE                                                 |     ZBP1    |      6.18     |
|  93  |                                                          (9aS)-4-bromo-9a-butyl-7-hydroxy-1,2,9,9a-tetrahydro-3H-fluoren-3-one                                                          |     ZBP1    |      6.18     |
|  94  |                                                               17-HYDROXY-18A-HOMO-19-NOR-17ALPHA-PREGNA-4,9,11-TRIEN-3-ONE                                                              |     ZBP1    |      6.17     |
|  95  |                                                                                   Clocortolone acetate                                                                                  |     ZBP1    |      6.17     |
|  96  |                                                                                        Brigatinib                                                                                       |    NLRP3    |      6.17     |
|  97  |                                                                                       Formebolone                                                                                       |     ZBP1    |      6.17     |
|  98  |                                                                                         Desonide                                                                                        |     ZBP1    |      6.17     |
|  99  |                                                              N-(TRANS-4'-NITRO-4-STILBENYL)-N-METHYL-5-AMINO-PENTANOIC ACID                                                             |     ZBP1    |      6.17     |
| 100  |                                                                                        Calcitriol                                                                                       |     ZBP1    |      6.17     |
| 101  |                                                                                        Dienogest                                                                                        |     ZBP1    |      6.16     |
| 102  |                                                                                       Astaxanthin                                                                                       |     ZBP1    |      6.16     |
| 103  |                                                                                     Flurandrenolide                                                                                     |    NLRP3    |      6.16     |
