| Rank |                                                                                        Drug Name                                                                                        | Target Name | Binding Score |
|  58  |                                              1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperazin-1-Yl-3,4-Dihydroquinazolin-2(1h)-One                                             |     ZBP1    |      7.73     |
|  59  |                                                                                       Calyculin A                                                                                       |    NLRP3    |      7.73     |
|  60  |                                                                                       Zanubrutinib                                                                                      |    NLRP3    |      7.73     |
|  61  |                                                                                          Y-700                                                                                          |    NLRP3    |      7.72     |
|  62  |                                                 2,4-Diamino-5-Methyl-6-[(3,4,5-Trimethoxy-N-Methylanilino)Methyl]Pyrido[2,3-D]Pyrimidine                                                |    NLRP3    |      7.71     |
|  63  |                                                                  N-[4-(3-BROMO-PHENYLAMINO)-QUINAZOLIN-6-YL]-ACRYLAMIDE                                                                 |    NLRP3    |      7.70     |
|  64  |                                                  (2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE                                                 |     ZBP1    |      7.70     |
|  65  |                                                                                        Siponimod                                                                                        |    NLRP3    |      7.70     |
|  66  |                                                        4-[(3-BROMO-4-O-SULFAMOYLBENZYL)(4-CYANOPHENYL)AMINO]-4H-[1,2,4]-TRIAZOLE                                                        |    NLRP3    |      7.70     |
|  67  |                                                                                       Mifepristone                                                                                      |     ZBP1    |      7.70     |
|  68  |                                                                                        Piritrexim                                                                                       |     ZBP1    |      7.69     |
|  69  |                                                     (2E)-N-{4-[(3-bromophenyl)amino]quinazolin-6-yl}-4-(dimethylamino)but-2-enamide                                                     |     ZBP1    |      7.68     |
|  70  |                                                                                        Thiorphan                                                                                        |    NLRP3    |      7.67     |
|  71  |                                              1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperazin-1-Yl-3,4-Dihydroquinazolin-2(1h)-One                                             |    NLRP3    |      7.66     |
|  72  |                                                        3-(2-AMINOQUINAZOLIN-6-YL)-4-METHYL-N-[3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE                                                       |     ZBP1    |      7.65     |
|  73  |                                                                                        Aprepitant                                                                                       |    NLRP3    |      7.65     |
|  74  |                                                                                       Trimetrexate                                                                                      |     ZBP1    |      7.63     |
|  75  |                                                  (2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE                                                 |    NLRP3    |      7.63     |
|  76  |                                      N-(2-METHOXYETHYL)-4-({4-[2-METHYL-1-(1-METHYLETHYL)-1H-IMIDAZOL-5-YL]PYRIMIDIN-2-YL}AMINO)BENZENESULFONAMIDE                                      |     ZBP1    |      7.62     |
|  77  |                                                                                       Mifepristone                                                                                      |    NLRP3    |      7.62     |
|  78  |                                             1-Benzyl-3-(4-Methoxy-Benzenesulfonyl)-6-Oxo-Hexahydro-Pyrimidine-4-Carboxylic Acid Hydroxyamide                                            |     ZBP1    |      7.62     |
|  79  |                                                                                        Piritrexim                                                                                       |    NLRP3    |      7.62     |
|  80  |                                                        3-(2-AMINOQUINAZOLIN-6-YL)-4-METHYL-N-[3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE                                                       |    NLRP3    |      7.61     |
|  81  |                                                        4-(4-chlorobenzyl)-1-(7H-pyrrolo[2,3-d]pyrimidin-4-yl)piperidin-4-aminium                                                        |    NLRP3    |      7.60     |
|  82  |                                              6-chloro-N-pyrimidin-5-yl-3-{[3-(trifluoromethyl)phenyl]amino}-1,2-benzisoxazole-7-carboxamide                                             |    NLRP3    |      7.59     |
|  83  |                                          (2R)-N~4~-hydroxy-2-(3-hydroxybenzyl)-N~1~-[(1S,2R)-2-hydroxy-2,3-dihydro-1H-inden-1-yl]butanediamide                                          |     ZBP1    |      7.58     |
|  84  |                                                                                       Caspofungin                                                                                       |     ZBP1    |      7.58     |
|  85  |                                                                                       Pimecrolimus                                                                                      |     ZBP1    |      7.58     |
|  86  |                                                    N-Hydroxy-1-(4-Methoxyphenyl)Sulfonyl-4-Benzyloxycarbonyl-Piperazine-2-Carboxamide                                                   |     ZBP1    |      7.57     |
|  87  |                                                  2-{4-[4-(4-Chloro-Phenoxy)-Benzenesulfonyl]-Tetrahydro-Pyran-4-Yl}-N-Hydroxy-Acetamide                                                 |     ZBP1    |      7.57     |
|  88  |                                                           4-[3-(1,4-diazepan-1-ylcarbonyl)-4-fluorobenzyl]phthalazin-1(2H)-one                                                          |     ZBP1    |      7.57     |
|  89  |                                      N-(2-METHOXYETHYL)-4-({4-[2-METHYL-1-(1-METHYLETHYL)-1H-IMIDAZOL-5-YL]PYRIMIDIN-2-YL}AMINO)BENZENESULFONAMIDE                                      |    NLRP3    |      7.56     |
|  90  |                                                                                       Trimetrexate                                                                                      |    NLRP3    |      7.56     |
|  91  |                                             1-Benzyl-3-(4-Methoxy-Benzenesulfonyl)-6-Oxo-Hexahydro-Pyrimidine-4-Carboxylic Acid Hydroxyamide                                            |    NLRP3    |      7.55     |
|  92  |                                                                                        Canertinib                                                                                       |     ZBP1    |      7.55     |
|  93  |                                                           4-[3-(1,4-diazepan-1-ylcarbonyl)-4-fluorobenzyl]phthalazin-1(2H)-one                                                          |    NLRP3    |      7.54     |
