drug_id,partner_id,gene_name,substrate,inducer,inhibitor
DB00656,BE0001032,ABCB1,0,1,0
DB00659,BE0000536,SLC36A1,0,0,0
DB00661,BE0001032,ABCB1,1,0,1
DB00661,BE0003648,SLC22A1,0,0,1
DB00661,BE0000757,SLC22A4,0,0,1
DB00661,BE0000106,SLC22A5,0,0,1
DB00661,BE0001061,ABCC3,0,0,1
DB00661,BE0001004,SLCO1B1,0,0,1
DB00661,BE0003642,SLCO1A2,0,0,1
DB00661,BE0000785,ABCC1,0,0,1
DB00661,BE0001188,ABCC4,0,0,1
DB00661,BE0003651,ABCC10,0,0,1
DB00661,BE0003657,SLC47A1,0,0,1
DB00661,BE0004752,SLC47A2,0,0,1
DB00668,BE0003647,SLC22A2,1,0,0
DB00668,BE0003648,SLC22A1,1,0,0
DB00669,BE0003642,SLCO1A2,0,1,0
DB00669,BE0001032,ABCB1,1,0,0
DB00669,BE0001067,ABCG2,1,0,0
DB00669,BE0001004,SLCO1B1,1,0,0
DB00671,BE0000106,SLC22A5,0,0,1
DB00671,BE0001018,SLC15A1,1,0,1
DB00671,BE0001134,SLC15A2,0,0,1
DB00672,BE0001018,SLC15A1,0,0,1
DB00672,BE0001134,SLC15A2,0,0,1
DB00672,BE0001066,SLC22A6,0,0,1
DB00675,BE0001032,ABCB1,1,1,1
DB00675,BE0001067,ABCG2,1,0,0
DB00675,BE0001069,ABCC2,1,0,0
DB00675,BE0000703,ABCB11,0,0,1
DB00675,BE0000119,ABCA1,1,0,0
DB00678,BE0001032,ABCB1,1,0,1
DB00678,BE0001066,SLC22A6,0,0,1
DB00678,BE0004782,SLC22A12,0,0,1
DB00678,BE0004783,SLC2A9,0,0,1
DB00678,BE0000703,ABCB11,1,0,0
DB00688,BE0001004,SLCO1B1,1,0,0
DB00688,BE0003659,SLCO1B3,1,0,0
DB00688,BE0001067,ABCG2,1,0,0
DB00688,BE0001032,ABCB1,1,0,0
DB00688,BE0001069,ABCC2,0,0,0
DB00689,BE0000106,SLC22A5,0,0,1
