drug_id,partner_id,gene_name,substrate,inducer,inhibitor
DB00006,BE0001075,MPO,0,0,1
DB00007,BE0002638,CYP3A4,1,0,0
DB00008,BE0002433,CYP1A2,0,0,1
DB00011,BE0002433,CYP1A2,0,0,1
DB00018,BE0002433,CYP1A2,0,0,1
DB00019,BE0000394,ELANE,1,0,0
DB00022,BE0002433,CYP1A2,0,0,1
DB00022,BE0002363,CYP2D6,0,0,1
DB00022,BE0002793,CYP2C9,0,1,0
DB00025,BE0000048,F2,0,0,0
DB00025,BE0000380,PROC,0,0,0
DB00030,BE0001183,IDE,0,0,0
DB00030,BE0002124,PCSK2,0,0,0
DB00030,BE0002125,PCSK1,0,0,0
DB00030,BE0002433,CYP1A2,0,1,0
DB00033,BE0002433,CYP1A2,0,0,1
DB00034,BE0002433,CYP1A2,0,0,1
DB00035,BE0000017,PTGS1,0,1,0
DB00035,BE0000262,PTGS2,0,1,0
DB00041,BE0000262,PTGS2,0,1,0
DB00041,BE0000657,PLA2G4A,0,1,0
DB00041,BE0002638,CYP3A4,0,0,1
DB00041,BE0002204,XDH,0,1,0
DB00041,BE0003533,CYP2E1,0,0,1
DB00046,BE0002433,CYP1A2,0,1,0
DB00047,BE0002433,CYP1A2,0,1,0
DB00060,BE0002433,CYP1A2,0,0,1
DB00068,BE0002433,CYP1A2,0,0,1
DB00069,BE0002433,CYP1A2,0,0,1
DB00071,BE0002433,CYP1A2,0,1,0
DB00082,BE0000549,CYP27A1,0,1,0
DB00082,BE0002240,GLUL,0,0,1
DB00082,BE0003611,CYP2C18,0,0,1
DB00082,BE0002638,CYP3A4,0,1,0
DB00082,BE0002180,BCHE,0,0,1
DB00082,BE0000421,CYP4A11,0,0,1
DB00086,BE0000657,PLA2G4A,0,1,0
DB00091,BE0003612,CYP3A7,0,1,0
DB00091,BE0002362,CYP3A5,1,0,1
DB00091,BE0002638,CYP3A4,1,1,1
DB00091,BE0003536,CYP2C19,0,0,1
DB00091,BE0002793,CYP2C9,0,0,1
