UniProtId,Label,Gene_Name,hgnc_symbol
Q8IWF9,reviewed,CCD83_HUMAN,CCD83
Q712K3,reviewed,UB2R2_HUMAN,UB2R2
Q8IV33,reviewed,K0825_HUMAN,K0825
O14718,reviewed,OPSX_HUMAN,OPSX
Q15661,reviewed,TRYB1_HUMAN,TRYB1
Q8NGK3,reviewed,O52K2_HUMAN,O52K2
Q11128,reviewed,FUT5_HUMAN,FUT5
P11142,reviewed,HSP7C_HUMAN,HSP7C
P41227,reviewed,NAA10_HUMAN,NAA10
Q5VV63,reviewed,ATRN1_HUMAN,ATRN1
B5MD39,reviewed,GGTL3_HUMAN,GGTL3
Q9Y330,reviewed,ZBT12_HUMAN,ZBT12
A6NFE2,reviewed,SMCO2_HUMAN,SMCO2
P78369,reviewed,CLD10_HUMAN,CLD10
O75128,reviewed,COBL_HUMAN,COBL
Q01658,reviewed,NC2B_HUMAN,NC2B
P21810,reviewed,PGS1_HUMAN,PGS1
O14717,reviewed,TRDMT_HUMAN,TRDMT
Q99447,reviewed,PCY2_HUMAN,PCY2
P61457,reviewed,PHS_HUMAN,PHS
Q8NGK4,reviewed,O52K1_HUMAN,O52K1
P41220,reviewed,RGS2_HUMAN,RGS2
Q5TGU0,reviewed,TSPO2_HUMAN,TSPO2
Q99965,reviewed,ADAM2_HUMAN,ADAM2
P0C7T7,reviewed,FMAS1_HUMAN,FMAS1
