drug_id,partner_id,gene_name,inhibitor,antagonist,agonist
DB00041,BE0002102,IL2RG,0,0,1
DB00042,BE0002137,VAMP2,0,0,0
DB00042,BE0002136,VAMP1,0,0,0
DB00042,BE0002138,SYT2,0,0,0
DB00043,BE0000015,FCER1A,1,0,0
DB00043,BE0002139,MS4A2,1,0,0
DB00044,BE0000134,LHCGR,0,0,1
DB00045,BE0001164,TLR2,0,0,0
DB00046,BE0000033,INSR,0,0,1
DB00046,BE0000858,IGF1R,0,0,0
DB00047,BE0000033,INSR,0,0,1
DB00047,BE0000858,IGF1R,0,0,0
DB00048,BE0000025,COL1A1,0,0,0
DB00048,BE0002140,COL2A1,0,0,0
DB00048,BE0002130,COL3A1,0,0,0
DB00048,BE0002141,COL1A2,0,0,0
DB00050,BE0000203,GNRHR,0,1,0
DB00050,BE0000134,LHCGR,0,0,0
DB00051,BE0000704,TNF,0,0,0
DB00052,BE0000075,GHR,0,0,0
DB00052,BE0000345,PRLR,0,0,0
DB00054,BE0001155,ITGB3,0,1,0
DB00054,BE0000439,ITGA2B,0,1,0
DB00054,BE0000901,FCGR3B,0,0,0
DB00054,BE0002093,C1R,0,0,0
DB00054,BE0002094,C1QA,0,0,0
DB00054,BE0002095,C1QB,0,0,0
DB00054,BE0002096,C1QC,0,0,0
DB00054,BE0002097,FCGR3A,0,0,0
DB00054,BE0001529,C1S,0,0,0
DB00054,BE0000710,FCGR1A,0,0,0
DB00054,BE0002098,FCGR2A,0,0,0
DB00054,BE0002099,FCGR2B,0,0,0
DB00054,BE0002100,FCGR2C,0,0,0
DB00054,BE0001068,VTN,0,0,0
DB00055,BE0000016,F8,0,0,0
DB00055,BE0000041,F5,0,0,0
DB00055,BE0000240,SERPINE1,0,0,0
DB00055,BE0001151,THBD,0,0,0
DB00055,BE0000943,PROS1,0,0,0
DB00055,BE0001140,CP,0,0,0
DB00055,BE0000048,F2,0,0,0
DB00055,BE0001129,PF4,0,0,0
DB00055,BE0002112,SERPINA5,0,0,0
DB00055,BE0002142,SERPINB6,0,0,0
DB00055,BE0000403,GGCX,0,0,0
DB00055,BE0001161,PROCR,0,0,0
DB00056,BE0000674,CD33,0,0,0
DB00056,BE0000901,FCGR3B,0,0,0
DB00056,BE0002093,C1R,0,0,0
DB00056,BE0002094,C1QA,0,0,0
DB00056,BE0002095,C1QB,0,0,0
DB00056,BE0002096,C1QC,0,0,0
DB00056,BE0002097,FCGR3A,0,0,0
DB00056,BE0001529,C1S,0,0,0
DB00056,BE0000710,FCGR1A,0,0,0
DB00056,BE0002098,FCGR2A,0,0,0
DB00056,BE0002099,FCGR2B,0,0,0
DB00056,BE0002100,FCGR2C,0,0,0
DB00058,BE0000394,ELANE,1,0,0
DB00060,BE0000661,IFNAR1,0,0,1
DB00060,BE0000385,IFNAR2,0,0,0
DB00061,BE0000917,GRB2,0,0,0
DB00063,BE0001155,ITGB3,0,0,0
DB00065,BE0000704,TNF,1,0,0
DB00066,BE0000387,FSHR,0,0,1
DB00067,BE0000293,AVPR2,0,0,1
DB00067,BE0000165,AVPR1A,0,0,0
DB00067,BE0000773,AVPR1B,0,0,0
DB00068,BE0000661,IFNAR1,0,0,1
DB00068,BE0000385,IFNAR2,0,0,1
DB00069,BE0000661,IFNAR1,0,0,0
DB00069,BE0000385,IFNAR2,0,0,0
DB00070,BE0000984,TGFB1,1,0,0
DB00071,BE0000033,INSR,0,0,0
DB00071,BE0000858,IGF1R,0,0,0
DB00071,BE0001183,IDE,0,0,0
DB00071,BE0002122,HLA-DQA2,0,0,0
DB00071,BE0004466,HLA-DQB1,0,0,0
DB00071,BE0002123,RB1,0,0,0
DB00071,BE0000941,CTSD,0,0,0
DB00071,BE0001123,CPE,0,0,0
DB00071,BE0002124,PCSK2,0,0,0
DB00071,BE0002125,PCSK1,0,0,0
DB00071,BE0001147,NOV,0,0,0
DB00071,BE0000942,LRP2,0,0,0
DB00071,BE0002126,IGFBP7,0,0,0
DB00071,BE0002127,SYTL4,0,0,0
DB00072,BE0000511,ERBB2,0,0,0
DB00072,BE0000767,EGFR,0,0,0
DB00072,BE0002093,C1R,0,0,0
DB00072,BE0002094,C1QA,0,0,0
DB00072,BE0002095,C1QB,0,0,0
DB00072,BE0002096,C1QC,0,0,0
DB00072,BE0001529,C1S,0,0,0
DB00072,BE0000710,FCGR1A,0,0,0
DB00072,BE0002098,FCGR2A,0,0,0
DB00072,BE0002099,FCGR2B,0,0,0
DB00072,BE0002100,FCGR2C,0,0,0
DB00072,BE0000901,FCGR3B,0,0,0
DB00072,BE0002097,FCGR3A,0,0,0
DB00073,BE0000066,MS4A1,0,0,0
DB00074,BE0000658,IL2RA,0,0,0
DB00074,BE0000651,IL2RB,0,0,0
DB00074,BE0000710,FCGR1A,0,0,0
DB00074,BE0002097,FCGR3A,0,0,0
DB00074,BE0002098,FCGR2A,0,0,0
DB00074,BE0002099,FCGR2B,0,0,0
DB00074,BE0002100,FCGR2C,0,0,0
DB00074,BE0000901,FCGR3B,0,0,0
DB00074,BE0001529,C1S,0,0,0
DB00074,BE0002093,C1R,0,0,0
DB00074,BE0002094,C1QA,0,0,0
DB00074,BE0002095,C1QB,0,0,0
DB00074,BE0002096,C1QC,0,0,0
DB00075,BE0003456,CD3D,0,0,0
DB00075,BE0000274,CD3E,0,0,0
DB00075,BE0003457,CD3G,0,0,0
DB00075,BE0003458,CD247,0,0,0
DB00075,BE0000901,FCGR3B,0,0,0
DB00075,BE0002093,C1R,0,0,0
DB00075,BE0002094,C1QA,0,0,0
DB00075,BE0002095,C1QB,0,0,0
DB00075,BE0002096,C1QC,0,0,0
DB00075,BE0002097,FCGR3A,0,0,0
DB00075,BE0001529,C1S,0,0,0
DB00075,BE0000710,FCGR1A,0,0,0
DB00075,BE0002098,FCGR2A,0,0,0
DB00075,BE0002099,FCGR2B,0,0,0
DB00075,BE0002100,FCGR2C,0,0,0
DB00078,BE0000066,MS4A1,0,0,0
DB00078,BE0000901,FCGR3B,0,0,0
DB00078,BE0002093,C1R,0,0,0
DB00078,BE0002094,C1QA,0,0,0
DB00078,BE0002095,C1QB,0,0,0
DB00078,BE0002096,C1QC,0,0,0
DB00078,BE0002097,FCGR3A,0,0,0
DB00078,BE0001529,C1S,0,0,0
DB00078,BE0000710,FCGR1A,0,0,0
DB00078,BE0002098,FCGR2A,0,0,0
DB00078,BE0002099,FCGR2B,0,0,0
DB00078,BE0002100,FCGR2C,0,0,0
DB00081,BE0000066,MS4A1,0,0,0
DB00081,BE0000901,FCGR3B,0,0,0
DB00081,BE0002093,C1R,0,0,0
DB00081,BE0002094,C1QA,0,0,0
DB00081,BE0002095,C1QB,0,0,0
DB00081,BE0002096,C1QC,0,0,0
DB00081,BE0002097,FCGR3A,0,0,0
DB00081,BE0000710,FCGR1A,0,0,0
DB00081,BE0002098,FCGR2A,0,0,0
DB00081,BE0002099,FCGR2B,0,0,0
DB00081,BE0002100,FCGR2C,0,0,0
DB00082,BE0000075,GHR,0,1,0
DB00083,BE0000390,SNAP25,1,0,0
DB00083,BE0003572,RHOB,0,0,0
DB00086,BE0000211,PLG,0,0,0
DB00086,BE0000928,F2R,0,0,0
DB00087,BE0000083,CD52,0,0,0
DB00087,BE0000901,FCGR3B,0,0,0
DB00087,BE0002093,C1R,0,0,0
DB00087,BE0002094,C1QA,0,0,0
DB00087,BE0002095,C1QB,0,0,0
DB00087,BE0002096,C1QC,0,0,0
DB00087,BE0002097,FCGR3A,0,0,0
DB00087,BE0000710,FCGR1A,0,0,0
DB00087,BE0002098,FCGR2A,0,0,0
DB00087,BE0002099,FCGR2B,0,0,0
DB00087,BE0002100,FCGR2C,0,0,0
DB00089,BE0000568,FOLH1,0,0,0
DB00091,BE0000379,CAMLG,0,0,0
DB00091,BE0002143,PPP3R2,1,0,0
DB00091,BE0001014,PPIA,0,0,0
DB00091,BE0001399,PPIF,0,0,0
DB00092,BE0000719,CD2,1,0,0
DB00092,BE0002093,C1R,0,0,0
DB00092,BE0002094,C1QA,0,0,0
DB00092,BE0002095,C1QB,0,0,0
DB00092,BE0002096,C1QC,0,0,0
DB00092,BE0002097,FCGR3A,0,0,0
DB00092,BE0000710,FCGR1A,0,0,0
DB00092,BE0002098,FCGR2A,0,0,0
DB00092,BE0002099,FCGR2B,0,0,0
DB00092,BE0002100,FCGR2C,0,0,0
DB00092,BE0000901,FCGR3B,0,0,0
DB00093,BE0000165,AVPR1A,0,0,1
DB00094,BE0000387,FSHR,0,0,1
DB00095,BE0000516,ITGAL,0,0,0
DB00095,BE0000901,FCGR3B,0,0,0
DB00095,BE0002093,C1R,0,0,0
DB00095,BE0002094,C1QA,0,0,0
DB00095,BE0002095,C1QB,0,0,0
DB00095,BE0002096,C1QC,0,0,0
DB00095,BE0002097,FCGR3A,0,0,0
DB00095,BE0000710,FCGR1A,0,0,0
DB00095,BE0002098,FCGR2A,0,0,0
DB00095,BE0002099,FCGR2B,0,0,0
DB00095,BE0002100,FCGR2C,0,0,0
DB00097,BE0000134,LHCGR,0,0,0
DB00097,BE0000387,FSHR,0,0,0
DB00098,BE0000598,CD1A,1,0,0
DB00098,BE0003573,MR1,0,1,0
DB00098,BE0000516,ITGAL,0,0,0
DB00098,BE0000846,CD86,0,0,0
DB00098,BE0002099,FCGR2B,0,0,0
DB00098,BE0003488,CD4,0,0,0
DB00098,BE0003575,ITGB1,0,0,0
DB00098,BE0003576,ITGAV,0,0,0
DB00098,BE0001155,ITGB3,0,0,0
DB00099,BE0000793,CSF3R,0,0,0
DB00099,BE0000394,ELANE,0,0,0
DB00100,BE0000216,F10,0,0,0
DB00100,BE0001021,F11,0,0,0
DB00100,BE0000333,F7,0,0,0
DB00100,BE0000016,F8,0,0,0
DB00100,BE0000048,F2,0,0,0
DB00100,BE0002110,LRP1,0,0,0
DB00100,BE0000403,GGCX,0,0,0
DB00102,BE0000205,PDGFRB,0,0,0
DB00102,BE0000852,PDGFRA,0,0,0
DB00102,BE0000910,A2M,0,0,0
DB00104,BE0000452,SSTR1,0,0,0
DB00104,BE0002147,SSTR5,0,0,0
DB00104,BE0003528,SSTR2,0,0,0
DB00105,BE0000385,IFNAR2,0,0,0
DB00105,BE0000661,IFNAR1,0,0,0
