| Rank |                                                                                        Drug Name                                                                                        | Target Name | Binding Score |
|  54  |                                                                                        Bucindolol                                                                                       |     ZBP1    |      6.66     |
|  55  |                                                                  3-FORMYL-2-HYDROXY-5-METHYL-HEXANOIC ACID HYDROXYAMIDE                                                                 |    NLRP3    |      6.66     |
|  56  |                                                    N-Hydroxy-1-(4-Methoxyphenyl)Sulfonyl-4-Benzyloxycarbonyl-Piperazine-2-Carboxamide                                                   |    NLRP3    |      6.65     |
|  57  |                                                                     METHYLAMINO-PHENYLALANYL-LEUCYL-HYDROXAMIC ACID                                                                     |    NLRP3    |      6.65     |
|  58  |                                                                1-(PHENYLMETHYL)CYCLOPENTYL[(1S)-1-FORMYLPENTYL]CARBAMATE                                                                |     ZBP1    |      6.63     |
|  59  |                         N-(4-{[(3S)-3-(dimethylamino)pyrrolidin-1-yl]carbonyl}phenyl)-5-fluoro-4-[2-methyl-1-(1-methylethyl)-1H-imidazol-5-yl]pyrimidin-2-amine                         |     ZBP1    |      6.63     |
|  60  |                                                                                         AR-9281                                                                                         |    NLRP3    |      6.63     |
|  61  |                                                                                       Caspofungin                                                                                       |     ZBP1    |      6.63     |
|  62  |                                                                                       Omapatrilat                                                                                       |    NLRP3    |      6.62     |
|  63  |                                                N-[5-(1,1-DIOXIDOISOTHIAZOLIDIN-2-YL)-1H-INDAZOL-3-YL]-2-(4-PIPERIDIN-1-YLPHENYL)ACETAMIDE                                               |    NLRP3    |      6.62     |
|  64  |                                                                                        Ulipristal                                                                                       |     ZBP1    |      6.61     |
|  65  |                                            4-({4-[(4-AMINOBUT-2-YNYL)OXY]PHENYL}SULFONYL)-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE                                            |    NLRP3    |      6.61     |
|  66  |                                                                                       Tazemetostat                                                                                      |     ZBP1    |      6.61     |
|  67  |                                                                                        Ulipristal                                                                                       |    NLRP3    |      6.60     |
|  68  |                         N-(4-{[(3S)-3-(dimethylamino)pyrrolidin-1-yl]carbonyl}phenyl)-5-fluoro-4-[2-methyl-1-(1-methylethyl)-1H-imidazol-5-yl]pyrimidin-2-amine                         |    NLRP3    |      6.60     |
