| Rank |                                                                                        Drug Name                                                                                        | Target Name | Binding Score |
|  49  |                                                              D-phenylalanyl-N-{4-[amino(iminio)methyl]benzyl}-L-prolinamide                                                             |    NLRP3    |     13.09     |
|  50  |                                                                                       Treprostinil                                                                                      |    NLRP3    |     13.08     |
|  51  |                                            N-[1-(4-CARBAMIMIDOYL-BENZYLCARBAMOYL)-3-METHYLSULFANYL-PROPYL]-3-HYDROXY-2-PROPOXYAMINO-BUTYRAMID                                           |    NLRP3    |     13.08     |
|  52  |                                                                           1,8-Di-Hydroxy-4-Nitro-Anthraquinone                                                                          |    NLRP3    |     13.08     |
|  53  |                                                                                   Carboxymycobactin T                                                                                   |    NLRP3    |     13.06     |
|  54  |                                                                                        Bromopride                                                                                       |    NLRP3    |     13.06     |
|  55  |                                          [4-({4-[(5-cyclopropyl-1H-pyrazol-3-yl)amino]-6-(methylamino)pyrimidin-2-yl}amino)phenyl]acetonitrile                                          |    NLRP3    |     13.04     |
|  56  |                                                                                        Zanamivir                                                                                        |    NLRP3    |     13.03     |
|  57  |                                                                 N,N'-DIPHENYLPYRAZOLO[1,5-A][1,3,5]TRIAZINE-2,4-DIAMINE                                                                 |    NLRP3    |     13.01     |
|  58  |                                                                                         Danazol                                                                                         |     ZBP1    |     13.01     |
|  59  |                                                                                         RU82209                                                                                         |    NLRP3    |     13.00     |
|  60  |                                                    4-{[5-(CYCLOHEXYLOXY)[1,2,4]TRIAZOLO[1,5-A]PYRIMIDIN-7-YL]AMINO}BENZENESULFONAMIDE                                                   |    NLRP3    |     13.00     |
|  61  |                                                 4-{5-[(1Z)-1-(2-IMINO-4-OXO-1,3-THIAZOLIDIN-5-YLIDENE)ETHYL]-2-FURYL}BENZENESULFONAMIDE                                                 |     ZBP1    |     12.99     |
|  62  |                                           5-AMINO-3-{[4-(AMINOSULFONYL)PHENYL]AMINO}-N-(2,6-DIFLUOROPHENYL)-1H-1,2,4-TRIAZOLE-1-CARBOTHIOAMIDE                                          |    NLRP3    |     12.98     |
|  63  |                                                                                         Balanol                                                                                         |    NLRP3    |     12.97     |
|  64  |                                                                                        Etravirine                                                                                       |    NLRP3    |     12.97     |
|  65  |                                                    3-({2-[(2-AMINO-6-METHYLPYRIMIDIN-4-YL)ETHYNYL]BENZYL}AMINO)-1,3-OXAZOL-2(3H)-ONE                                                    |    NLRP3    |     12.96     |
|  66  |                                                                                         Balanol                                                                                         |     ZBP1    |     12.95     |
|  67  |                                                   N~2~-1H-benzimidazol-5-yl-N~4~-(3-cyclopropyl-1H-pyrazol-5-yl)pyrimidine-2,4-diamine                                                  |     ZBP1    |     12.94     |
|  68  |                                                                                       Midostaurin                                                                                       |     ZBP1    |     12.94     |
|  69  |                                                                                       Cinchocaine                                                                                       |    NLRP3    |     12.93     |
|  70  |                                      3-{[(2,2-dioxido-1,3-dihydro-2-benzothien-5-yl)amino]methylene}-5-(1,3-oxazol-5-yl)-1,3-dihydro-2H-indol-2-one                                     |     ZBP1    |     12.93     |
|  71  |                                                   3-[1-(3-Aminopropyl)-1h-Indol-3-Yl]-4-(1-Methyl-1h-Indol-3-Yl)-1h-Pyrrole-2,5-Dione                                                   |     ZBP1    |     12.93     |
|  72  |                                                        3-[1-(3-AMINOPROPYL)-1H-INDOL-3-YL]-4-(1H-INDOL-3-YL)-1H-PYRROLE-2,5-DIONE                                                       |     ZBP1    |     12.93     |
|  73  |                                                            3-[(3-(2-CARBOXYETHYL)-4-METHYLPYRROL-2-YL)METHYLENE]-2-INDOLINONE                                                           |    NLRP3    |     12.92     |
|  74  |                                                D-phenylalanyl-N-[(1S)-4-{[amino(iminio)methyl]amino}-1-(chloroacetyl)butyl]-L-prolinamide                                               |    NLRP3    |     12.92     |
|  75  |                                                                                      Alsterpaullone                                                                                     |    NLRP3    |     12.92     |
|  76  |                                                                                        Lonafarnib                                                                                       |     ZBP1    |     12.92     |
|  77  |                                                                                       Levobunolol                                                                                       |     ZBP1    |     12.91     |
|  78  |                                                 N-[4-(2-CHLOROPHENYL)-1,3-DIOXO-1,2,3,6-TETRAHYDROPYRROLO[3,4-C]CARBAZOL-9-YL]FORMAMIDE                                                 |    NLRP3    |     12.91     |
|  79  |                                                 4-{5-[(1Z)-1-(2-IMINO-4-OXO-1,3-THIAZOLIDIN-5-YLIDENE)ETHYL]-2-FURYL}BENZENESULFONAMIDE                                                 |    NLRP3    |     12.89     |
|  80  |                                                 (2S)-1-{4-[(4-Anilino-5-bromo-2-pyrimidinyl)amino]phenoxy}-3-(dimethylamino)-2-propanol                                                 |    NLRP3    |     12.89     |
|  81  |                                                 (2R)-1-{4-[(4-Anilino-5-bromo-2-pyrimidinyl)amino]phenoxy}-3-(dimethylamino)-2-propanol                                                 |    NLRP3    |     12.89     |
|  82  |                                                                                        Fedratinib                                                                                       |    NLRP3    |     12.89     |
|  83  |                                                       7-PYRIDIN-2-YL-N-(3,4,5-TRIMETHOXYPHENYL)-7H-PYRROLO[2,3-D]PYRIMIDIN-2-AMINE                                                      |    NLRP3    |     12.88     |
|  84  |                                                                                     Rbt205 Inhibitor                                                                                    |     ZBP1    |     12.88     |
