| Rank |                                                                                        Drug Name                                                                                        | Target Name | Binding Score |
|  50  |                                                    N-Hydroxy-1-(4-Methoxyphenyl)Sulfonyl-4-Benzyloxycarbonyl-Piperazine-2-Carboxamide                                                   |     ZBP1    |      6.75     |
|  51  |                                             2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE                                             |     ZBP1    |      6.75     |
|  52  |                                             1-Benzyl-3-(4-Methoxy-Benzenesulfonyl)-6-Oxo-Hexahydro-Pyrimidine-4-Carboxylic Acid Hydroxyamide                                            |    NLRP3    |      6.75     |
|  53  |                                              N-HYDROXY-2(R)-[[(4-METHOXYPHENYL)SULFONYL](3-PICOLYL)AMINO]-3-METHYLBUTANAMIDE HYDROCHLORIDE                                              |    NLRP3    |      6.74     |
|  54  |                                                                                        Odanacatib                                                                                       |    NLRP3    |      6.73     |
|  55  |                                                                                       Caspofungin                                                                                       |    NLRP3    |      6.73     |
|  56  |                                                                                     Estrone sulfate                                                                                     |     ZBP1    |      6.73     |
|  57  |                                                                                       Butorphanol                                                                                       |     ZBP1    |      6.71     |
|  58  |                                              N-HYDROXY-2(R)-[[(4-METHOXYPHENYL)SULFONYL](3-PICOLYL)AMINO]-3-METHYLBUTANAMIDE HYDROCHLORIDE                                              |     ZBP1    |      6.71     |
|  59  |                                                                                         NPS-2143                                                                                        |     ZBP1    |      6.71     |
|  60  |                                                                                        Vilazodone                                                                                       |    NLRP3    |      6.71     |
|  61  |                                                                                        ORG-34517                                                                                        |     ZBP1    |      6.70     |
|  62  |                                                  (2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE                                                 |     ZBP1    |      6.70     |
|  63  |                                                                                      Physostigmine                                                                                      |    NLRP3    |      6.69     |
|  64  |                                                                                        Asoprisnil                                                                                       |     ZBP1    |      6.69     |
|  65  |                                                                                       Dutogliptin                                                                                       |    NLRP3    |      6.69     |
|  66  |                                             2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE                                             |    NLRP3    |      6.69     |
|  67  |                                                                                        Bucindolol                                                                                       |     ZBP1    |      6.69     |
|  68  |                                                                                        Marimastat                                                                                       |     ZBP1    |      6.67     |
|  69  |                                                                                        Radotinib                                                                                        |     ZBP1    |      6.65     |
|  70  |                                               N-(2-chloro-6-methylphenyl)-8-[(3S)-3-methylpiperazin-1-yl]imidazo[1,5-a]quinoxalin-4-amine                                               |     ZBP1    |      6.64     |
|  71  |                                                 (2R)-2-AMINO-3,3,3-TRIFLUORO-N-HYDROXY-2-{[(4-PHENOXYPHENYL)SULFONYL]METHYL}PROPANAMIDE                                                 |     ZBP1    |      6.64     |
|  72  |                                                                                        Sertindole                                                                                       |     ZBP1    |      6.64     |
|  73  |                                                                                        Sertindole                                                                                       |    NLRP3    |      6.63     |
