Name,InchiKey,SMILES
ZAPi,GTWKIPDKVRLUKN-UHFFFAOYSA-N,O=C(N(CC1=CC=C(Cl)C=C1)CC2=CC=CO2)C3=NC(S(=O)(CC)=O)=NC=C3Cl
LOC14,YVBSNHLFRIVWFQ-UHFFFAOYSA-N,O=C1N(CN2CCN(C(C3CC3)=O)CC2)SC4=C1C=CC=C4
