| Rank |                                                                                        Drug Name                                                                                        | Target Name | Binding Score |
|  43  |                                                             (3S)-1-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}pyrrolidine-3-thiol                                                            |     ZBP1    |      6.91     |
|  44  |                                           3-(HYDROXY-PHENYL-PHOSPHINOYLOXY)-8-METHYL-8-AZA-BICYCLO[3.2.1]OCTANE-2-CARBOXYLIC ACID METHYL ESTER                                          |    NLRP3    |      6.91     |
|  45  |                                                                                      Fosamprenavir                                                                                      |     ZBP1    |      6.90     |
|  46  |                                                N-Alpha-(2-Naphthylsulfonyl)-N(3-Amidino-L-Phenylalaninyl)Isopipecolinic Acid Methyl Ester                                               |     ZBP1    |      6.90     |
|  47  |                                                          (4-sulfamoyl-phenyl)-thiocarbamic acid O-(2-thiophen-3-yl-ethyl) ester                                                         |    NLRP3    |      6.90     |
|  48  |                                                                                        Argatroban                                                                                       |     ZBP1    |      6.89     |
|  49  |                                                      N-Alpha-(2-Naphthylsulfonyl)-N-(3-Amidino-L-Phenylalaninyl)-D-Pipecolinic Acid                                                     |    NLRP3    |      6.88     |
|  50  |                                                           1-[(2-NITROPHENYL)SULFONYL]-1H-PYRROLO[3,2-B]PYRIDINE-6-CARBOXAMIDE                                                           |    NLRP3    |      6.87     |
|  51  |                                                                                        Bopindolol                                                                                       |    NLRP3    |      6.87     |
|  52  |                                           N-(3-chlorophenyl)-N-methyl-2-oxo-3-[(3,4,5-trimethyl-1H-pyrrol-2-yl)methyl]-2H-indole-5-sulfonamide                                          |     ZBP1    |      6.86     |
|  53  |                                            4-({4-[(4-AMINOBUT-2-YNYL)OXY]PHENYL}SULFONYL)-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE                                            |    NLRP3    |      6.86     |
|  54  |                                        Al-6619, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Hydroxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]                                       |    NLRP3    |      6.86     |
|  55  |                                                                  1,2,3,4-Tetrahydro-Isoquinoline-7-Sulfonic Acid Amide                                                                  |    NLRP3    |      6.86     |
|  56  |                                                      N-Alpha-(2-Naphthylsulfonyl)-N(3-Amidino-L-Phenylalaninyl)-4-Acetyl-Piperazine                                                     |     ZBP1    |      6.86     |
|  57  |                                          THIENO[3,2-B]PYRIDINE-2-SULFONIC ACID [1-(1-AMINO-ISOQUINOLIN-7-YLMETHYL)-2-OXO-PYRROLDIN-3-YL]-AMIDE                                          |    NLRP3    |      6.85     |
|  58  |                                                    4-{[5-(CYCLOHEXYLOXY)[1,2,4]TRIAZOLO[1,5-A]PYRIMIDIN-7-YL]AMINO}BENZENESULFONAMIDE                                                   |    NLRP3    |      6.85     |
|  59  |                                                                                       Pipotiazine                                                                                       |    NLRP3    |      6.84     |
|  60  |                                                                      N-(dibenzo[b,d]thiophen-3-ylsulfonyl)-L-valine                                                                     |    NLRP3    |      6.84     |
|  61  |                                              (3S)-4-{[4-(BUT-2-YNYLOXY)PHENYL]SULFONYL}-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE                                              |    NLRP3    |      6.83     |
|  62  |                                      N-(2-METHOXYETHYL)-4-({4-[2-METHYL-1-(1-METHYLETHYL)-1H-IMIDAZOL-5-YL]PYRIMIDIN-2-YL}AMINO)BENZENESULFONAMIDE                                      |    NLRP3    |      6.83     |
|  63  |                                                   4-{[5-(CYCLOHEXYLAMINO)[1,2,4]TRIAZOLO[1,5-A]PYRIMIDIN-7-YL]AMINO}BENZENESULFONAMIDE                                                  |    NLRP3    |      6.83     |
|  64  |                                                                                        Amprenavir                                                                                       |     ZBP1    |      6.83     |
|  65  |                                                          (5-Chloropyrazolo[1,5-a]Pyrimidin-7-Yl)-(4-Methanesulfonylphenyl)Amine                                                         |    NLRP3    |      6.83     |
|  66  |                                                                   3-Nitro-4-(2-Oxo-Pyrrolidin-1-Yl)-Benzenesulfonamide                                                                  |    NLRP3    |      6.82     |
|  67  |                                                                    4-[(6-chloropyrazin-2-yl)amino]benzenesulfonamide                                                                    |    NLRP3    |      6.81     |
