| Rank |                                                                                        Drug Name                                                                                        | Target Name | Binding Score |
|  53  |                                        5-Chloro-N-{(3S)-1-[(2S)-1-(4-morpholinyl)-1-oxo-2-propanyl]-2-oxo-3-pyrrolidinyl}-1H-indole-2-sulfonamide                                       |     ZBP1    |      8.31     |
|  54  |                               N-((1R,2S)-2-(5-CHLORO-1H-INDOLE-2-CARBOXAMIDO)CYCLOHEXYL)-5-METHYL-4,5,6,7-TETRAHYDROTHIAZOLO[5,4-C]PYRIDINE-2-CARBOXAMIDE                               |     ZBP1    |      8.31     |
|  55  |                                                                                        Forodesine                                                                                       |     ZBP1    |      8.29     |
|  56  |                                        5-Chloro-N-{(3S)-1-[(2S)-1-(4-morpholinyl)-1-oxo-2-propanyl]-2-oxo-3-pyrrolidinyl}-1H-indole-2-sulfonamide                                       |    NLRP3    |      8.28     |
|  57  |                                                                                       Flupentixol                                                                                       |    NLRP3    |      8.27     |
|  58  |                                                                                       Calyculin A                                                                                       |    NLRP3    |      8.27     |
|  59  |                                                                                       Flupentixol                                                                                       |     ZBP1    |      8.27     |
|  60  |                                                                                       Quinupristin                                                                                      |    NLRP3    |      8.26     |
|  61  |                               N-((1R,2S)-2-(5-CHLORO-1H-INDOLE-2-CARBOXAMIDO)CYCLOHEXYL)-5-METHYL-4,5,6,7-TETRAHYDROTHIAZOLO[5,4-C]PYRIDINE-2-CARBOXAMIDE                               |    NLRP3    |      8.26     |
|  62  |                                                                N-(4-chlorophenyl)-2-[(pyridin-4-ylmethyl)amino]benzamide                                                                |    NLRP3    |      8.25     |
|  63  |                                                                    N-[2-(METHYLAMINO)ETHYL]-5-ISOQUINOLINESULFONAMIDE                                                                   |     ZBP1    |      8.24     |
|  64  |                                                                                        Benidipine                                                                                       |     ZBP1    |      8.24     |
|  65  |                                                   2-[2-(2-FLUOROPHENYL)PYRIDIN-4-YL]-1,5,6,7-TETRAHYDRO-4H-PYRROLO[3,2-C]PYRIDIN-4-ONE                                                  |    NLRP3    |      8.23     |
|  66  |                                                                                       Quinupristin                                                                                      |     ZBP1    |      8.23     |
|  67  |                                                                                       Zafirlukast                                                                                       |     ZBP1    |      8.22     |
|  68  |                                                   2-[2-(2-FLUOROPHENYL)PYRIDIN-4-YL]-1,5,6,7-TETRAHYDRO-4H-PYRROLO[3,2-C]PYRIDIN-4-ONE                                                  |     ZBP1    |      8.21     |
|  69  |                                                                                        Ibrutinib                                                                                        |     ZBP1    |      8.21     |
|  70  |                                                                                        Ibrutinib                                                                                        |    NLRP3    |      8.21     |
|  71  |                                                                                       Fesoterodine                                                                                      |    NLRP3    |      8.19     |
|  72  |                                                                                        Zosuquidar                                                                                       |     ZBP1    |      8.19     |
|  73  |                                                                                        Labetalol                                                                                        |     ZBP1    |      8.19     |
|  74  |                                                                           2-(1H-pyrazol-3-yl)-1H-benzimidazole                                                                          |     ZBP1    |      8.18     |
|  75  |                                                                                     (R)-minalrestat                                                                                     |    NLRP3    |      8.18     |
|  76  |                                                                                         SR11254                                                                                         |    NLRP3    |      8.17     |
|  77  |                                                                4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE                                                               |     ZBP1    |      8.17     |
|  78  |                                                                                      Bremelanotide                                                                                      |    NLRP3    |      8.16     |
|  79  |                                                                                         SR11254                                                                                         |     ZBP1    |      8.16     |
|  80  |                                                   N'-(5-CHLORO-1,3-BENZODIOXOL-4-YL)-N-(3-MORPHOLIN-4-YLPHENYL)PYRIMIDINE-2,4-DIAMINE                                                   |    NLRP3    |      8.16     |
