Group,pathik_compounds,n_compounds,drugbank_common_drugs,n_common_drugs,top_common_proteins200,n_top_common_proteins200,top_common_proteins500,n_top_common_proteins500,top_common_proteins1000,n_top_common_proteins1000
1,"['Compound_2', 'Compound_3', 'Compound_31', 'Compound_53']",4,"['Tariquidar', 'Betrixaban', 'Metolazone', '1-(5-OXO-2,3,5,9B-TETRAHYDRO-1H-PYRROLO[2,1-A]ISOINDOL-9-YL)-3-(5-PYRROLIDIN-2-YL-1H-PYRAZOL-3-YL)-UREA', 'Apremilast', '2-{[(6-OXO-1,6-DIHYDROPYRIDIN-3-YL)METHYL]AMINO}-N-[4-PROPYL-3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE', '3-FLUORO-5-MORPHOLIN-4-YL-N-[1-(2-PYRIDIN-4-YLETHYL)-1H-INDOL-6-YL]BENZAMIDE', 'Tolvaptan', '(1S)-2-oxo-1-phenyl-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate', '(1S)-1-(3-chlorophenyl)-2-oxo-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate', 'Pagoclone', ""N'-(Pyrrolidino[2,1-B]Isoindolin-4-On-8-Yl)-N-(Pyridin-2-Yl)Urea"", '6-CARBAMIMIDOYL-4-(3-HYDROXY-2-METHYL-BENZOYLAMINO)-NAPHTHALENE-2-CARBOXYLIC ACID METHYL ESTER', 'Pomalidomide']",14,"['SI', 'C6', 'CS', 'F3', 'TH', 'CDA', 'F5', 'F8', 'GC', 'C3', 'F2', 'KL', 'HP', 'PC', 'C5', 'C2', 'EGF', 'ZNF3', 'C7', 'NF1', 'MB', 'AR', 'TF', 'SP1']",24,"['SI', 'TXN', 'C6', 'IK', 'CA1', 'GAPDH', 'SH3BP5L', 'TNF', 'CS', 'F3', 'F10', 'EBP', 'TH', 'CDA', 'F5', 'F8', 'GAL', 'ALB', 'FAP', 'F11', 'GC', 'ARC', 'APP', 'F9', 'C3', 'F2', 'HP', 'CP', 'PC', 'C9', 'SH3BP5', 'KL', 'C5', 'CD2', 'C2', 'EGF', 'ZNF3', 'RNF2', 'RS1', 'C7', 'ZNF8', 'NF1', 'MB', 'AR', 'CDC42', 'KRT1', 'AK1', 'SF1', 'CD4', 'TF', 'NF2', 'TG', 'HR', 'SP1', 'F7']",55,"['UBC', 'CA1', 'GAPDH', 'F12', 'CS', 'F10', 'TH', 'CDA', 'ALB', 'GC', 'APP', 'CR1', 'F2', 'HP', 'MRPL2', 'MYC', 'C2', 'RPS3', 'ZNF3', 'C7', 'PRL', 'CCL2', 'FBP2', 'SF1', 'NF2', 'TG', 'HR', 'PAWR', 'F7', 'RAN', 'IK', 'CCDC13', 'SH3BP5L', 'FKBP5', 'TAP1', 'ANKRD2', 'AMOT', 'ADM', 'SH3BP5', 'CEBPA', 'ZNF8', 'NF1', 'AR', 'MIP', 'CD4', 'KRT2', 'RPL3', 'SI', 'HDC', 'TXN', 'F3', 'F5', 'FAP', 'F11', 'CP', 'PC', 'RD3', 'C5', 'CD2', 'EGF', 'MET', 'RNF2', 'RS1', 'MB', 'CHM', 'LPL', 'JUN', 'BCL2', 'TF', 'UBB', 'KRT3', 'C6', 'AKT1', 'TNF', 'RP1', 'EBP', 'KRT8', 'F8', 'GAL', 'GK', 'CCDC6', 'ARC', 'HPR', 'F9', 'C3', 'REL', 'CSF3', 'C9', 'KL', 'PIP', 'ZNF7', 'PERP', 'FOS', 'PF4', 'KRT7', 'CDC6', 'CDC42', 'KRT1', 'AK1', 'SP1']",100
2,"['Compound_5', 'Compound_6']",2,"['Tariquidar', '(3Z)-1-[(6-fluoro-4H-1,3-benzodioxin-8-yl)methyl]-4-[(E)-2-phenylethenyl]-1H-indole-2,3-dione 3-oxime', 'Vintafolide', '(3E)-5-fluoro-1-[(6-fluoro-4H-1,3-benzodioxin-8-yl)methyl]-1H-indole-2,3-dione 3-oxime', 'Letermovir', 'Metolazone', '1-(5-OXO-2,3,5,9B-TETRAHYDRO-1H-PYRROLO[2,1-A]ISOINDOL-9-YL)-3-(5-PYRROLIDIN-2-YL-1H-PYRAZOL-3-YL)-UREA', 'Apremilast', '3-FLUORO-5-MORPHOLIN-4-YL-N-[1-(2-PYRIDIN-4-YLETHYL)-1H-INDOL-6-YL]BENZAMIDE', ""3''-(Beta-Chloroethyl)-2'',4''-Dioxo-3, 5''-Spiro-Oxazolidino-4-Deacetoxy-Vinblastine""]",10,"['SI', 'C6', 'CS', 'F3', 'TH', 'CDA', 'F8', 'F5', 'C3', 'F2', 'CP', 'KL', 'HP', 'PC', 'C5', 'C2', 'ZNF3', 'RS1', 'C7', 'NF1', 'MB', 'AR', 'TF', 'TG']",24,"['SI', 'UBC', 'HDC', 'TXN', 'MAF', 'C6', 'IK', 'CA1', 'SH3BP5L', 'TNF', 'CS', 'F3', 'F10', 'EBP', 'TH', 'CDA', 'F5', 'F8', 'ICK', 'RHO', 'ALB', 'GAL', 'FAP', 'F11', 'GC', 'ANKRD2', 'ARC', 'F9', 'C3', 'F2', 'HP', 'CP', 'PC', 'KL', 'SH3BP5', 'C9', 'MYC', 'C5', 'C2', 'CD2', 'EGF', 'ZNF3', 'PIP', 'RS1', 'C7', 'NF1', 'MB', 'AR', 'CWC15', 'CDC42', 'KRT1', 'SF1', 'TNN', 'TF', 'NF2', 'TG', 'HR', 'SP1', 'F7']",59,"['UBC', 'CA1', 'F12', 'CS', 'F10', 'TH', 'CDA', 'ALB', 'RSF1', 'GC', 'LIM2', 'MR1', 'APP', 'CR1', 'F2', 'ZNF2', 'HP', 'MYC', 'C2', 'LHB', 'ZNF3', 'C7', 'ING1', 'PRL', 'CCL2', 'CWC15', 'FBP2', 'SF1', 'NF2', 'TG', 'HR', 'PLEK', 'F7', 'MAP7', 'NFKBIA', 'RAN', 'IK', 'SH3BP5L', 'MRPL4', 'RHO', 'FH', 'ANKRD2', 'CLEC11A', 'AMOT', 'SH3BP5', 'CEBPA', 'TTC3', 'ZNF8', 'NF1', 'HGF', 'AR', 'CD4', 'C1orf131', 'TNN', 'HRAS', 'KRT2', 'PDCL', 'EN1', 'SI', 'HDC', 'TXN', 'MAF', 'F3', 'F5', 'ICK', 'FAP', 'F11', 'CP', 'PC', 'C5', 'CD2', 'EGF', 'MET', 'RNF2', 'RS1', 'MB', 'CHM', 'DSP', 'MAX', 'LPL', 'JUN', 'BCL2', 'RPL4', 'LBP', 'TF', 'UBB', 'KRT3', 'C6', 'BATF', 'TNF', 'RP1', 'EBP', 'KRT8', 'F8', 'GAL', 'GK', 'SP2', 'C1D', 'CCDC6', 'ARC', 'TRO', 'F9', 'C3', 'REL', 'CSF3', 'KL', 'C9', 'PIP', 'ZNF7', 'PERP', 'SSNA1', 'FOS', 'GPI', 'KRT7', 'CDC6', 'CDC42', 'KRT1', 'SP1']",118
3,"['Compound_8', 'Compound_4', 'Compound_7']",3,"['Tariquidar', 'Pagoclone']",2,"['RPL28', 'RIC1', 'SI', 'IL2', 'HDC', 'C6', 'MRPL1', 'TNF', 'CS', 'F3', 'F10', 'TH', 'EBP', 'CDA', 'F5', 'F8', 'TAF2', 'SP2', 'F11', 'CCDC59', 'GC', 'ANKRD2', 'ARC', 'CR1', 'CLEC11A', 'RP2', 'F9', 'C3', 'F2', 'ZNF2', 'CSF3', 'HP', 'CP', 'PC', 'KL', 'CEBPA', 'C5', 'CD2', 'C2', 'LHB', 'EGF', 'ZNF3', 'PIP', 'C1S', 'RS1', 'CBX3', 'C7', 'ZNF7', 'NF1', 'PCYT1A', 'MB', 'CHM', 'FOS', 'TACC3', 'GFAP', 'PF4', 'AR', 'KRT7', 'CDC42', 'KRT1', 'AK1', 'CD4', 'SP1', 'RPL3', 'TNN', 'SNRPN', 'PML', 'TAP2', 'TF', 'KRT2', 'NF2', 'TG', 'HR', 'CBX5', 'PAWR', 'F7']",76,"['RPL28', 'UBC', 'IL2', 'TAT', 'MRPL1', 'CYP2A6', 'CA1', 'CAD', 'GAPDH', 'SKI', 'F12', 'RGS9', 'CS', 'ZNF43', 'F10', 'TH', 'CDA', 'RPS18', 'ALB', 'TAF2', 'GC', 'APP', 'CR1', 'GIP', 'F2', 'ZNF2', 'PRKACG', 'HP', 'ASCL1', 'MED1', 'NNT', 'MRPL2', 'C2', 'LHB', 'TNNT3', 'SCN4B', 'ZNF3', 'C7', 'CCDC12', 'PRL', 'CCL2', 'SOX1', 'OGA', 'PDCD7', 'MN1', 'SF1', 'CROCC', 'TNNC1', 'ZSCAN1', 'CCDC8', 'CR2', 'PHB', 'NF2', 'TG', 'SYT1', 'HR', 'DCD', 'PAWR', 'MAP2', 'F7', 'RIC1', 'MRPL3', 'RAN', 'CCDC185', 'IK', 'TCAP', 'SH3BP5L', 'AGT', 'RHO', 'ENG', 'CCDC3', 'ADA', 'FH', 'TAP1', 'ANKRD2', 'CLEC11A', 'RP2', 'AMOT', 'TK1', 'PDC', 'ADM', 'HIP1', 'RHOA', 'SH3BP5', 'CEBPA', 'PIN1', 'C1S', 'ZNF8', 'NF1', 'PCYT1A', 'IPP', 'GRP', 'TEK', 'AR', 'ZKSCAN1', 'CD4', 'C1orf131', 'TNN', 'IL3', 'HAP1', 'HRAS', 'KRT2', 'CCDC7', 'EN1', 'RPL3', 'CBX5', 'GLA', 'SI', 'BCAS2', 'HDC', 'TXN', 'JAKMIP1', 'CDC7', 'ATF7', 'F3', 'F5', 'ICK', 'FAP', 'F11', 'AIP', 'RB1', 'CP', 'PC', 'RD3', 'C5', 'CD2', 'EGF', 'CCDC18', 'CDK5', 'RNF2', 'RS1', 'MB', 'CHM', 'MED25', 'GFAP', 'NPY', 'KRT36', 'LPL', 'BCL2', 'GNAI3', 'CCDC17', 'TPR', 'PML', 'TF', 'GLUL', 'TPI1', 'CCDC59', 'KRT3', 'C6', 'AKT1', 'HES1', 'TNF', 'EBP', 'CCDC15', 'F8', 'GAL', 'SP2', 'ZNF32', 'ARC', 'TRO', 'PRKACA', 'F9', 'C3', 'CSF3', 'CCDC122', 'KL', 'C9', 'NDP', 'PIP', 'CD7', 'CBX3', 'ZNF7', 'PERP', 'FOS', 'TACC3', 'TBP', 'ZNF26', 'DAP', 'ERF', 'PF4', 'KRT7', 'RILP', 'UROD', 'NTS', 'CDC42', 'KRT1', 'AK1', 'TNR', 'SNRPN', 'TAP2', 'WAS', 'ABR', 'SP1']",193,"['RPL28', 'VIM', 'RAC1', 'INA', 'GAPDH', 'TH', 'RPS18', 'RSF1', 'NCAM1', 'TCF3', 'GOLGA5', 'F2', 'CA4', 'ASCL1', 'PDCL3', 'TNNT3', 'IST1', 'ING1', 'CNP', 'CCL2', 'SOX1', 'MN1', 'HSPA5', 'NSA2', 'NF2', 'SYT1', 'HR', 'DCD', 'ANK1', 'RAN', 'IK', 'CCDC13', 'ESR1', 'NOS3', 'ENG', 'CAMP', 'CHCHD3', 'TK1', 'RHOA', 'DNAJC1', 'CTNNB1', 'TEK', 'TPPP', 'ZKSCAN1', 'CD4', 'NES', 'TAF11', 'DR1', 'GLA', 'SI', 'BCAS2', 'KRAS', 'SOD1', 'BAAT', 'FAP', 'CNTROB', 'GOLGA6L10', 'CSF1', 'PC', 'C5', 'TRMT6', 'MED25', 'RPL4', 'TPR', 'FN1', 'CCDC50', 'CCDC15', 'CLP1', 'PRKACA', 'CCDC122', 'KL', 'C9', 'UBA5', 'ATG12', 'DBP', 'DAP', 'CA3', 'IGLL5', 'AK1', 'SNRPN', 'TAP2', 'CA2', 'CDH1', 'STAT3', 'SP1', 'CYP2A6', 'SKI', 'F12', 'RGS9', 'F10', 'SPC24', 'ALB', 'APP', 'CR1', 'PRKACG', 'NNT', 'MRPL2', 'C2', 'CLDN17', 'PVALB', 'ZFY', 'CAVIN1', 'DRD2', 'CROCC', 'PSMD1', 'PLEK', 'RIC1', 'MAP7', 'CHD3', 'ZNF83', 'TCAP', 'CHMP4A', 'DUSP1', 'AGT', 'RHO', 'ADA', 'PDC', 'SH3BP5', 'PIN1', 'NF1', 'EBNA1BP2', 'AR', 'MYT1', 'RPL5', 'DLD', 'SRSF1', 'SP4', 'BRMS1', 'KRT2', 'CCDC7', 'RPL3', 'HSPA8', 'RPSA', 'TAF1', 'JAKMIP1', 'SPEG', 'ATF7', 'F5', 'ICK', 'TOMM20', 'FAAP24', 'RB1', 'CD2', 'RNF2', 'GOLGA2', 'LPL', 'JUN', 'CCDC17', 'PML', 'AMT', 'UBB', 'PPIG', 'KRT3', 'MAG', 'HAX1', 'IRS2', 'RP1', 'PSAP', 'C1D', 'HPR', 'F9', 'REL', 'CSF3', 'VIP', 'AKR1A1', 'GPI', 'CCDC170', 'SGK1', 'MAPK1', 'UROD', 'CDC6', 'NTS', 'SKA3', 'ABR', 'DPYS', 'TAT', 'SPC25', 'CDKN1B', 'GC', 'SNPH', 'MR1', 'VPS37C', 'GIP', 'BCL2A1', 'LRRC4', 'MED1', 'MYC', 'RPS3', 'SCN4B', 'ZNF3', 'UBXN1', 'C7', 'CCDC12', 'KRT14', 'OGA', 'PDCD7', 'ZNF14', 'FBP2', 'SF1', 'TNNC1', 'CR2', 'TG', 'PRKACB', 'RPL19', 'ABRA', 'ASL', 'MAP2', 'MRPL3', 'FKBP5', 'MRPL4', 'RDX', 'CCDC3', 'FH', 'TAP1', 'INS', 'RP2', 'AMOT', 'ADM', 'HIP1', 'OTC', 'PTEN', 'CEBPA', 'CHMP4B', 'TTC3', 'CYP2B6', 'PCYT1A', 'GRP', 'ZBTB3', 'CHMP1B', 'GTF2A1', 'C1orf131', 'TNN', 'IL3', 'KLF9', 'AIF1', 'PDCL', 'EN1', 'CBX5', 'HDC', 'SP9', 'F3', 'F11', 'AIP', 'DNAAF1', 'PRPH', 'CP', 'EGF', 'CCDC18', 'RS1', 'MB', 'FAH', 'GFAP', 'NPY', 'CRH', 'GNAI3', 'TP53', 'TF', 'APOE', 'C6', 'HES1', 'TNF', 'EBP', 'OLR1', 'CCDC6', 'ARC', 'TRO', 'F13B', 'C3', 'NDP', 'CD7', 'ZNF7', 'PERP', 'ZNF85', 'TACC3', 'ZNF26', 'PRKCZ', 'PF4', 'KRT7', 'RILP', 'PALM', 'MAPK3', 'SYCE1', 'FOSL2', 'TRAK1', 'WAS', 'RNF4', 'NFE2', 'TMED2', 'HOXD1', 'UBC', 'IL2', 'MRPL1', 'CA1', 'CAD', 'CS', 'ZNF43', 'CDA', 'TAF2', 'LIM2', 'TSG101', 'ZNF2', 'RET', 'HP', 'CRIPT', 'LHB', 'ACE', 'PRL', 'TSPO', 'CAVIN2', 'EIF2AK2', 'ZSCAN1', 'CCDC8', 'PHB', 'NFYC', 'AKR1C1', 'G6PD', 'PAWR', 'F7', 'USP2', 'CCDC185', 'ATF5', 'SH3BP5L', 'ZNF77', 'ANKRD2', 'CLEC11A', 'C1S', 'ZNF8', 'BID', 'IPP', 'GLRX', 'MIP', 'ANXA1', 'TMF1', 'HAP1', 'HRAS', 'KRT25', 'TXN', 'CDC7', 'TPM3', 'LDHA', 'LMAN2', 'GP2', 'DUSP2', 'CAT', 'RD3', 'CDK5', 'MET', 'PLK1', 'CHM', 'SSB', 'CBX1', 'KRT36', 'SERPIND1', 'ZHX1', 'BCL2', 'LGALS1', 'ALS2', 'GLUL', 'TPI1', 'CCDC59', 'CYP2A13', 'GOLGA6L1', 'AKT1', 'VASP', 'KRT8', 'F8', 'CBL', 'GAL', 'NRAS', 'GK', 'SP2', 'ZNF32', 'ZSCAN2', 'FBP1', 'SAMD1', 'WBP4', 'MTR', 'POU5F1', 'IKBKG', 'NEFM', 'PIP', 'CBX3', 'SSNA1', 'FOS', 'TBP', 'ERF', 'TST', 'MIPOL1', 'LRRC6', 'CDC42', 'KRT1', 'TNR', 'EFS']",393
4,"['Compound_13', 'Compound_19', 'Compound_28']",3,"['Vintafolide', 'Thalidomide', 'Dactinomycin', 'Lenalidomide', 'Vinflunine', 'Pomalidomide']",6,"['SI', 'C6', 'TNF', 'CS', 'F3', 'TH', 'CDA', 'F5', 'ALB', 'GC', 'C3', 'F2', 'CP', 'KL', 'C9', 'HP', 'PC', 'C5', 'C2', 'C7', 'NF1', 'MB', 'AR', 'TF', 'TG']",25,"['SI', 'TXN', 'UBC', 'C6', 'IK', 'CA1', 'TPM3', 'GAPDH', 'SKI', 'TNF', 'RP1', 'CS', 'F3', 'EBP', 'TH', 'AGT', 'CDA', 'F5', 'RPS18', 'F8', 'ALB', 'GAL', 'SP2', 'GK', 'GC', 'DCT', 'ARC', 'CR1', 'F9', 'DRC1', 'C3', 'F2', 'HP', 'CP', 'PC', 'KL', 'C9', 'C5', 'CD2', 'C2', 'PIP', 'MET', 'RS1', 'C7', 'NF1', 'MB', 'CCL2', 'AR', 'JUN', 'CDC6', 'CDC42', 'ALK', 'SF1', 'CD4', 'LBP', 'F7', 'HRAS', 'TF', 'NF2', 'TG', 'HR', 'UBB', 'FGF2', 'SP1', 'PGR']",65,"['UBC', 'IL2', 'INA', 'CA1', 'GAPDH', 'SKI', 'CS', 'TH', 'CDKN1B', 'CDA', 'HMGB1', 'NAT1', 'RPS18', 'ACR', 'ALB', 'TAF2', 'GC', 'APOB', 'APP', 'CR1', 'DRC1', 'F2', 'TYMS', 'HP', 'CA4', 'MYC', 'C2', 'KRT14', 'C7', 'ING1', 'PRL', 'CCL2', 'PKM', 'SELE', 'FBP2', 'ALK', 'SF1', 'CR2', 'MTOR', 'NF2', 'TG', 'HR', 'PGR', 'MAP2', 'F7', 'PTPN1', 'NFKBIA', 'USP2', 'EPCAM', 'NOS3', 'IK', 'KRT5', 'CEBPD', 'AGT', 'SP3', 'TAP1', 'RP2', 'CEBPA', 'RPS2', 'NF1', 'AR', 'CD4', 'SP4', 'IL3', 'HAP1', 'HRAS', 'EN1', 'DR1', 'FDX1', 'SI', 'HDC', 'TXN', 'TAF1', 'TPM3', 'F3', 'F5', 'FAP', 'F11', 'DCT', 'CAT', 'PRKCA', 'CP', 'PC', 'C5', 'CD2', 'PON1', 'MET', 'RNF2', 'RS1', 'MB', 'FAH', 'CHM', 'DSP', 'GFAP', 'CDK1', 'LPL', 'JUN', 'BCL2', 'LGALS1', 'RPL4', 'LBP', 'ALS2', 'TPR', 'PML', 'TF', 'CCNB1', 'GLUL', 'FN1', 'UBB', 'FGF2', 'KRT3', 'REN', 'STAT1', 'C6', 'AKT1', 'TNF', 'RP1', 'EBP', 'CEL', 'NAT2', 'KRT8', 'F8', 'CBL', 'GAL', 'NRAS', 'SP2', 'GK', 'ARC', 'FBP1', 'MTR', 'TCHP', 'POU5F1', 'F9', 'SLC7A11', 'C3', 'REL', 'SHC1', 'KL', 'C9', 'PIP', 'PERP', 'FOS', 'MAPK3', 'CDC6', 'CDC42', 'AK1', 'SP1']",147
5,"['Novel1', 'Novel2', 'Novel3']",3,"['Verdoheme', 'Vintafolide', 'Vinorelbine', 'Dactinomycin', 'Vinflunine', 'Vincristine', 'Vinblastine', ""3''-(Beta-Chloroethyl)-2'',4''-Dioxo-3, 5''-Spiro-Oxazolidino-4-Deacetoxy-Vinblastine"", 'Vindesine', 'Dihydroergocristine']",10,"['SI', 'C6', 'GAPDH', 'TNF', 'CS', 'F3', 'TH', 'CDA', 'F5', 'C3', 'F2', 'CP', 'KL', 'C9', 'HP', 'PC', 'PIP', 'C5', 'C2', 'C7', 'MB', 'AR', 'TF', 'TG']",24,"['SI', 'TXN', 'C6', 'IK', 'GAPDH', 'TNF', 'RP1', 'CS', 'F3', 'F10', 'TH', 'CDA', 'F8', 'F5', 'GAL', 'ALB', 'GC', 'ARC', 'CR1', 'F9', 'C3', 'PDC', 'F2', 'HP', 'CP', 'PC', 'KL', 'C9', 'C5', 'CD2', 'C2', 'PIP', 'RS1', 'C7', 'NF1', 'PRL', 'MB', 'AR', 'BCL2', 'CDC42', 'HR', 'SF1', 'TF', 'NF2', 'TG', 'STAT3', 'TTR', 'SP1', 'F7']",49,"['UBC', 'IL2', 'CA1', 'GAPDH', 'CS', 'F10', 'TH', 'NAT1', 'CDA', 'ACR', 'ALB', 'GC', 'APP', 'CR1', 'FGFR1', 'F2', 'HP', 'C2', 'C7', 'ING1', 'PRL', 'CCL2', 'SF1', 'CR2', 'MTOR', 'NF2', 'TG', 'HR', 'F7', 'MAP2', 'NFKBIA', 'IK', 'RHO', 'SP3', 'RP2', 'PDC', 'OTC', 'CEBPA', 'NF1', 'AR', 'CD4', 'IL3', 'HRAS', 'PDCL', 'EN1', 'DR1', 'SI', 'TXN', 'F3', 'F5', 'F11', 'PRKCA', 'CP', 'PC', 'C5', 'CD2', 'MET', 'RNF2', 'RS1', 'MB', 'LPL', 'BCL2', 'LBP', 'TPR', 'PML', 'TF', 'FN1', 'FGF2', 'REN', 'C6', 'SERPINB1', 'AKT1', 'TNF', 'RP1', 'CEL', 'F8', 'GAL', 'CBL', 'GK', 'SP2', 'ARC', 'FBP1', 'F9', 'C3', 'SHC1', 'KL', 'C9', 'PIP', 'FOS', 'GPI', 'SRC', 'MAPK3', 'CDC42', 'AK1', 'STAT3', 'TTR', 'SP1']",97
6,"['Novel4', 'Novel5']",2,[],0,[],0,[],0,[],0
