Group,pathik_compounds,n_compounds,drugbank_common_drugs,n_common_drugs
1,"['Compound_2', 'Compound_3', 'Compound_31', 'Compound_53']",4,"['Apremilast', 'Metolazone', '(1S)-1-(3-chlorophenyl)-2-oxo-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate', '3-FLUORO-5-MORPHOLIN-4-YL-N-[1-(2-PYRIDIN-4-YLETHYL)-1H-INDOL-6-YL]BENZAMIDE', '2-{[(6-OXO-1,6-DIHYDROPYRIDIN-3-YL)METHYL]AMINO}-N-[4-PROPYL-3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE', 'Tariquidar', '6-CARBAMIMIDOYL-4-(3-HYDROXY-2-METHYL-BENZOYLAMINO)-NAPHTHALENE-2-CARBOXYLIC ACID METHYL ESTER', 'Tolvaptan', '1-(5-OXO-2,3,5,9B-TETRAHYDRO-1H-PYRROLO[2,1-A]ISOINDOL-9-YL)-3-(5-PYRROLIDIN-2-YL-1H-PYRAZOL-3-YL)-UREA', ""N'-(Pyrrolidino[2,1-B]Isoindolin-4-On-8-Yl)-N-(Pyridin-2-Yl)Urea"", 'Betrixaban', 'Pagoclone', 'Pomalidomide', '(1S)-2-oxo-1-phenyl-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate']",14
2,"['Compound_5', 'Compound_6']",2,"['Apremilast', '(3Z)-1-[(6-fluoro-4H-1,3-benzodioxin-8-yl)methyl]-4-[(E)-2-phenylethenyl]-1H-indole-2,3-dione 3-oxime', 'Metolazone', '3-FLUORO-5-MORPHOLIN-4-YL-N-[1-(2-PYRIDIN-4-YLETHYL)-1H-INDOL-6-YL]BENZAMIDE', 'Tariquidar', '1-(5-OXO-2,3,5,9B-TETRAHYDRO-1H-PYRROLO[2,1-A]ISOINDOL-9-YL)-3-(5-PYRROLIDIN-2-YL-1H-PYRAZOL-3-YL)-UREA', ""3''-(Beta-Chloroethyl)-2'',4''-Dioxo-3, 5''-Spiro-Oxazolidino-4-Deacetoxy-Vinblastine"", '(3E)-5-fluoro-1-[(6-fluoro-4H-1,3-benzodioxin-8-yl)methyl]-1H-indole-2,3-dione 3-oxime', 'Letermovir', 'Vintafolide']",10
3,"['Compound_8', 'Compound_4', 'Compound_7']",3,"['Pagoclone', 'Tariquidar']",2
4,"['Compound_13', 'Compound_19', 'Compound_28']",3,"['Vinflunine', 'Dactinomycin', 'Lenalidomide', 'Vintafolide', 'Thalidomide', 'Pomalidomide']",6
5,"['Novel1', 'Novel2', 'Novel3']",3,"['Vinflunine', 'Vinorelbine', 'Dactinomycin', 'Vinblastine', 'Vincristine', 'Dihydroergocristine', ""3''-(Beta-Chloroethyl)-2'',4''-Dioxo-3, 5''-Spiro-Oxazolidino-4-Deacetoxy-Vinblastine"", 'Verdoheme', 'Vindesine', 'Vintafolide']",10
6,"['Novel4', 'Novel5']",2,[],0
