| Rank |                                                                                        Drug Name                                                                                        | Target Name | Binding Score |
|  50  |                                                   3-[1-(3-Aminopropyl)-1h-Indol-3-Yl]-4-(1-Methyl-1h-Indol-3-Yl)-1h-Pyrrole-2,5-Dione                                                   |    NLRP3    |     12.16     |
|  51  |                                                                            2-PHENYL-4H-BENZO[H]CHROMEN-4-ONE                                                                            |    NLRP3    |     12.15     |
|  52  |                                                                                  Nitrilotriacetic Acid                                                                                  |    NLRP3    |     12.15     |
|  53  |                                                                   3-PYRIDIN-4-YL-2,4-DIHYDRO-INDENO[1,2-.C.] PYRAZOLE                                                                   |    NLRP3    |     12.14     |
|  54  |                                                                                        Cidofovir                                                                                        |    NLRP3    |     12.14     |
|  55  |                                                                                        Lucanthone                                                                                       |    NLRP3    |     12.13     |
|  56  |                                                  4-[(7-OXO-7H-THIAZOLO[5,4-E]INDOL-8-YLMETHYL)-AMINO]-N-PYRIDIN-2-YL-BENZENESULFONAMIDE                                                 |     ZBP1    |     12.13     |
|  57  |                                                 [4-({5-(AMINOCARBONYL)-4-[(3-METHYLPHENYL)AMINO]PYRIMIDIN-2-YL}AMINO)PHENYL]ACETIC ACID                                                 |     ZBP1    |     12.12     |
|  58  |                                                                                       Quinethazone                                                                                      |    NLRP3    |     12.12     |
|  59  |                                                                                           Tmr                                                                                           |    NLRP3    |     12.12     |
|  60  |                                                   3-[1-(3-Aminopropyl)-1h-Indol-3-Yl]-4-(1-Methyl-1h-Indol-3-Yl)-1h-Pyrrole-2,5-Dione                                                   |     ZBP1    |     12.11     |
|  61  |                                                           1-[(2-NITROPHENYL)SULFONYL]-1H-PYRROLO[3,2-B]PYRIDINE-6-CARBOXAMIDE                                                           |    NLRP3    |     12.10     |
|  62  |                                                                           N-(3-AMINOPROPYL)-2-NITROBENZENAMINE                                                                          |    NLRP3    |     12.10     |
|  63  |                                                         (Z)-3-BENZYL-5-(2-HYDROXY-3-NITROBENZYLIDENE)-2-THIOXOTHIAZOLIDIN-4-ONE                                                         |     ZBP1    |     12.10     |
|  64  |                                                                           1,8-Di-Hydroxy-4-Nitro-Anthraquinone                                                                          |    NLRP3    |     12.09     |
|  65  |                                                                                          Rhein                                                                                          |     ZBP1    |     12.09     |
|  66  |                                                               3-[4-(2,4-Dimethyl-Thiazol-5-Yl)-Pyrimidin-2-Ylamino]-Phenol                                                              |     ZBP1    |     12.08     |
|  67  |                                                           3-[4-AMINO-1-(1-METHYLETHYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-3-YL]PHENOL                                                          |    NLRP3    |     12.07     |
|  68  |                                       N-methyl-{4-[2-(7-oxo-6,7-dihydro-8H-[1,3]thiazolo[5,4-e]indol-8-ylidene)hydrazino]phenyl}methanesulfonamide                                      |    NLRP3    |     12.07     |
|  69  |                                              4-{[(2-Oxo-1,2-dihydro-3H-indol-3-ylidene)methyl]amino}-N-(1,3-thiazol-2-yl)benzenesulfonamide                                             |    NLRP3    |     12.07     |
|  70  |                                                                          2,6-Dihydroanthra/1,9-Cd/Pyrazol-6-One                                                                         |    NLRP3    |     12.07     |
|  71  |                                                         (Z)-3-BENZYL-5-(2-HYDROXY-3-NITROBENZYLIDENE)-2-THIOXOTHIAZOLIDIN-4-ONE                                                         |    NLRP3    |     12.06     |
|  72  |                                                                      2-(2-Hydroxy-Phenyl)-1h-Indole-5-Carboxamidine                                                                     |    NLRP3    |     12.05     |
|  73  |                   (13R,15S)-13-METHYL-16-OXA-8,9,12,22,24-PENTAAZAHEXACYCLO[15.6.2.16,9.1,12,15.0,2,7.0,21,25]HEPTACOSA-1(24),2,4,6,17(25),18,20-HEPTAENE-23,26-DIONE                   |     ZBP1    |     12.04     |
|  74  |                                                      (2S)-1-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}-3-PHENYLPROPAN-2-AMINE                                                      |    NLRP3    |     12.04     |
|  75  |                                                             [N-(3-dibenzylcarbamoyl-oxiranecarbonyl)-hydrazino]-acetic acid                                                             |    NLRP3    |     12.03     |
|  76  |                                                    N-Methyl-4-{[(2-oxo-1,2-dihydro-3H-indol-3-ylidene)methyl]amino}benzenesulfonamide                                                   |     ZBP1    |     12.03     |
|  77  |                                                                           1,8-Di-Hydroxy-4-Nitro-Anthraquinone                                                                          |     ZBP1    |     12.03     |
|  78  |                                                 (2S)-1-{4-[(4-Anilino-5-bromo-2-pyrimidinyl)amino]phenoxy}-3-(dimethylamino)-2-propanol                                                 |     ZBP1    |     12.02     |
|  79  |                                                 (2R)-1-{4-[(4-Anilino-5-bromo-2-pyrimidinyl)amino]phenoxy}-3-(dimethylamino)-2-propanol                                                 |     ZBP1    |     12.02     |
|  80  |                                                                       3-ETHYL-2-(4-HYDROXYPHENYL)-2H-INDAZOL-5-OL                                                                       |     ZBP1    |     12.02     |
|  81  |                                                                  4-(5-phenyl-1H-pyrrolo[2,3-b]pyridin-3-yl)benzoic acid                                                                 |    NLRP3    |     12.02     |
|  82  |                                                                                     Balanol Analog 1                                                                                    |    NLRP3    |     12.02     |
|  83  |                                                                   3-BROMO-6-HYDROXY-2-(4-HYDROXYPHENYL)-1H-INDEN-1-ONE                                                                  |    NLRP3    |     12.01     |
|  84  |                                                          4-[4-(4-Methyl-2-Methylamino-Thiazol-5-Yl)-Pyrimidin-2-Ylamino]-Phenol                                                         |     ZBP1    |     12.01     |
|  85  |                                                 3-{[4-([amino(imino)methyl]aminosulfonyl)anilino]methylene}-2-oxo-2,3-dihydro-1H-indole                                                 |    NLRP3    |     12.00     |
|  86  |                                                                                        Tenofovir                                                                                        |    NLRP3    |     12.00     |
|  87  |                                                   2-(1,1-DIMETHYLETHYL)9-FLUORO-3,6-DIHYDRO-7H-BENZ[H]-IMIDAZ[4,5-F]ISOQUINOLIN-7-ONE                                                   |    NLRP3    |     12.00     |
|  88  |                                                                          2,6-Dihydroanthra/1,9-Cd/Pyrazol-6-One                                                                         |     ZBP1    |     12.00     |
|  89  |                   (13R,15S)-13-METHYL-16-OXA-8,9,12,22,24-PENTAAZAHEXACYCLO[15.6.2.16,9.1,12,15.0,2,7.0,21,25]HEPTACOSA-1(24),2,4,6,17(25),18,20-HEPTAENE-23,26-DIONE                   |    NLRP3    |     11.99     |
|  90  |                                                                                         FG-9041                                                                                         |    NLRP3    |     11.99     |
|  91  |                              5-[(E)-(5-CHLORO-2-OXO-1,2-DIHYDRO-3H-INDOL-3-YLIDENE)METHYL]-N-[2-(DIETHYLAMINO)ETHYL]-2,4-DIMETHYL-1H-PYRROLE-3-CARBOXAMIDE                              |     ZBP1    |     11.98     |
|  92  |                                                                                          Rhein                                                                                          |    NLRP3    |     11.98     |
|  93  |                                                                      2-(2-Hydroxy-Phenyl)-1h-Indole-5-Carboxamidine                                                                     |     ZBP1    |     11.98     |
|  94  |                                                                                       Procainamide                                                                                      |    NLRP3    |     11.98     |
|  95  |                                                                                      Gadoxetic acid                                                                                     |    NLRP3    |     11.97     |
|  96  |                                    1-(4-fluorophenyl)-N-[3-fluoro-4-(1H-pyrrolo[2,3-b]pyridin-4-yloxy)phenyl]-2-oxo-1,2-dihydropyridine-3-carboxamide                                   |     ZBP1    |     11.97     |
|  97  |                                  (3AALPHA,4ALPHA,7ALPHA,7AALPHA)- 3A,4,7,7A-TETRAHYDRO-2-(4-NITRO-1-NAPHTHALENYL)-4,7-ETHANO-1H-ISOINDOLE-1,3(2H)-DIONE                                 |     ZBP1    |     11.97     |
|  98  |                                          N-[(1S)-2-AMINO-1-(2,4-DICHLOROBENZYL)ETHYL]-5-[2-(METHYLAMINO)PYRIMIDIN-4-YL]THIOPHENE-2-CARBOXAMIDE                                          |    NLRP3    |     11.97     |
|  99  |                                                                                        Copanlisib                                                                                       |    NLRP3    |     11.96     |
| 100  |                                                           3-[4-AMINO-1-(1-METHYLETHYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-3-YL]PHENOL                                                          |     ZBP1    |     11.95     |
| 101  |                                                                    1,2,3-TRIHYDROXY-1,2,3,4-TETRAHYDROBENZO[A]PYRENE                                                                    |    NLRP3    |     11.95     |
| 102  |                                                                      4-(6-HYDROXY-1H-INDAZOL-3-YL)BENZENE-1,3-DIOL                                                                      |     ZBP1    |     11.95     |
| 103  |                                                                             Methylprednisolone hemisuccinate                                                                            |     ZBP1    |     11.95     |
| 104  |                                                             4-[4-(4-methoxyphenyl)-5-methyl-1H-pyrazol-3-yl]benzene-1,3-diol                                                            |    NLRP3    |     11.95     |
| 105  |                                                                                        Sunitinib                                                                                        |     ZBP1    |     11.95     |
| 106  |                                                                5-HYDROXY-3-[(1R)-1-(1H-PYRROL-2-YL)ETHYL]-2H-INDOL-2-ONE                                                                |    NLRP3    |     11.94     |
| 107  |                                                                                        Equilenin                                                                                        |    NLRP3    |     11.94     |
| 108  |                                                                   [3-(Dodecanoylamino)Propyl](Hydroxy)Dimethylammonium                                                                  |    NLRP3    |     11.93     |
| 109  |                                                                           N-(3-AMINOPROPYL)-2-NITROBENZENAMINE                                                                          |     ZBP1    |     11.92     |
| 110  |                                                                                          SU9516                                                                                         |    NLRP3    |     11.92     |
| 111  |                                                                                   Tenofovir disoproxil                                                                                  |    NLRP3    |     11.92     |
| 112  |                                                                     [2(Formyl-Hydroxy-Amino)-Ethyl]-Phosphonic Acid                                                                     |    NLRP3    |     11.92     |
| 113  |                                                                                    3'-deoxyguanosine                                                                                    |    NLRP3    |     11.91     |
| 114  |                                                             4-[4-(4-methoxyphenyl)-5-methyl-1H-pyrazol-3-yl]benzene-1,3-diol                                                            |     ZBP1    |     11.91     |
| 115  |                                                                                       Dioxybenzone                                                                                      |    NLRP3    |     11.90     |
| 116  |                                                                                     Balanol Analog 2                                                                                    |    NLRP3    |     11.90     |
| 117  |                                                                        1,2,5,8-tetrahydroxyanthracene-9,10-dione                                                                        |    NLRP3    |     11.90     |
| 118  |                                                         1-cyclobutyl-3-(3,4-dimethoxyphenyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine                                                        |    NLRP3    |     11.90     |
| 119  |                                                               3-[4-(2,4-Dimethyl-Thiazol-5-Yl)-Pyrimidin-2-Ylamino]-Phenol                                                              |    NLRP3    |     11.89     |
| 120  |                                 4-{[4-{[(1R,2R)-2-(dimethylamino)cyclopentyl]amino}-5-(trifluoromethyl)pyrimidin-2-yl]amino}-N-methylbenzenesulfonamide                                 |     ZBP1    |     11.89     |
| 121  |                                                                               Technetium Tc-99m mebrofenin                                                                              |    NLRP3    |     11.89     |
| 122  |                                                  [4-({4-[(5-cyclopropyl-1H-pyrazol-3-yl)amino]quinazolin-2-yl}amino)phenyl]acetonitrile                                                 |     ZBP1    |     11.89     |
| 123  |                                                   4-(2-chlorophenyl)-8-(2-hydroxyethyl)-6-methylpyrrolo[3,4-e]indole-1,3(2H,6H)-dione                                                   |    NLRP3    |     11.89     |
| 124  |                                                                                        Ribociclib                                                                                       |    NLRP3    |     11.89     |
| 125  |                                                                        1,2,5,8-tetrahydroxyanthracene-9,10-dione                                                                        |     ZBP1    |     11.89     |
